SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NMDC","85.33","85.35","83.14","85.00","84.40","-","-0.6","-0.71","18589633","156.10","97.49","68.19","-0.58","21.61"
"HINDUNILVR","2,089.00","2,090.90","2,066.40","2,092.00","2,077.00","-","-15","-0.72","1148419","238.60","2,750.00","2,016.00","-1.22","-16.27"
"HCLTECH","1,372.80","1,374.90","1,346.50","1,370.00","1,360.00","-","-10","-0.73","1033374","140.64","1,780.10","1,030.00","16.44","-8.71"
"COLPAL","1,985.50","1,989.20","1,971.30","1,995.50","1,981.00","-","-14.5","-0.73","153432","30.35","2,504.00","1,782.00","-1.53","-8.03"
"TATASTEEL","184.00","184.19","180.00","184.85","183.50","-","-1.35","-0.73","16131505","294.08","224.40","153.05","-0.95","18.16"
"ULTRACEMCO","11,657.00","11,698.00","11,587.00","11,706.00","11,619.00","-","-87","-0.74","198920","231.50","13,110.00","10,325.00","-1.63","-5.67"
"JINDALSTEL","1,098.90","1,105.60","1,086.00","1,099.90","1,091.50","-","-8.4","-0.76","493678","54.03","1,306.20","943.30","4.73","11.9"
"NAM-INDIA","1,170.00","1,177.40","1,159.60","1,177.00","1,167.90","-","-9.1","-0.77","512668","59.67","1,233.50","780.25","-2.37","45.16"
"BANDHANBNK","175.50","176.30","173.51","175.90","174.55","-","-1.35","-0.77","2509360","43.83","220.76","134.25","-19.38","6.84"
"NHPC","77.52","77.95","76.80","77.50","76.90","-","-0.6","-0.77","3897275","30.09","89.22","71.62","-2.77","-6.58"
"PFC","376.95","379.80","374.95","378.95","376.00","-","-2.95","-0.78","5851335","220.27","486.50","329.90","-7.31","-9.72"
"ABB","7,710.00","7,825.00","7,639.00","7,710.00","7,649.00","-","-61","-0.79","163080","125.82","7,924.50","4,637.50","6.17","52.07"
"TVSMOTOR","4,307.40","4,340.00","4,297.10","4,342.20","4,307.00","-","-35.2","-0.81","560053","242.06","4,475.00","2,963.80","19.23","42.6"
"BAJAJFINSV","2,033.50","2,033.60","2,006.60","2,025.00","2,008.30","-","-16.7","-0.82","956605","193.41","2,195.00","1,597.00","8.58","4.32"
